,marketType,userType,individualGroup,dtYearMonth,eventSum,costOfPerson
0,유흥,중국인관광객,단체,201711,121053,121713
1,유흥,내국인관광객,개별,201711,3843474,5205222
2,식음료,중국인관광객,단체,201711,1262327,1531884
3,식음료,중국인관광객,개별,201711,451209,555441
4,식음료,내국인관광객,개별,201711,1506530,2299423
5,숙박,중국인관광객,개별,201711,5836880,9760025
6,숙박,내국인관광객,개별,201711,3466243,4339615
7,쇼핑,중국인관광객,단체,201711,1488975,3316581
8,쇼핑,중국인관광객,개별,201711,1003458,2082881
9,쇼핑,내국인관광객,개별,201711,727619,1653699
10,소매,중국인관광객,단체,201711,2788080,3344083
11,소매,중국인관광객,개별,201711,635409,851200
12,소매,내국인관광객,개별,201711,1950442,2513826
13,문화/레져,중국인관광객,단체,201711,286218,310564
14,문화/레져,중국인관광객,개별,201711,64620,64620
15,문화/레져,내국인관광객,개별,201711,1915525,2527124
16,기타,중국인관광객,단체,201711,4847284,8950088
17,기타,중국인관광객,개별,201711,865401,1435618
18,기타,내국인관광객,개별,201711,2099061,3412082
19,교통,중국인관광객,단체,201711,20192,21033
20,교통,중국인관광객,개별,201711,128171,128171
21,교통,내국인관광객,개별,201711,1729305,2110476
22,유흥,중국인관광객,단체,201710,94306,95778
23,유흥,중국인관광객,개별,201710,65200,72444
24,유흥,내국인관광객,개별,201710,3524215,5014593
25,식음료,중국인관광객,단체,201710,1199511,1449600
26,식음료,중국인관광객,개별,201710,819709,1059233
27,식음료,내국인관광객,개별,201710,1552306,2325886
28,숙박,중국인관광객,개별,201710,8020766,8919428
29,숙박,내국인관광객,개별,201710,3850306,4822871
30,쇼핑,중국인관광객,단체,201710,1516309,3365603
31,쇼핑,중국인관광객,개별,201710,895155,1891947
32,쇼핑,내국인관광객,개별,201710,750982,1648778
33,소매,중국인관광객,단체,201710,4212818,4800966
34,소매,중국인관광객,개별,201710,1407659,1690319
35,소매,내국인관광객,개별,201710,1847520,2344858
36,문화/레져,중국인관광객,단체,201710,525248,581517
37,문화/레져,중국인관광객,개별,201710,258851,317856
38,문화/레져,내국인관광객,개별,201710,1843182,2382246
39,기타,중국인관광객,단체,201710,6297316,10860273
40,기타,중국인관광객,개별,201710,156292,187933
41,기타,내국인관광객,개별,201710,2049525,3105372
42,교통,중국인관광객,단체,201710,24426,27333
43,교통,중국인관광객,개별,201710,26000,28737
44,교통,내국인관광객,개별,201710,1818679,2120695
45,유흥,중국인관광객,단체,201709,164756,178582
46,유흥,중국인관광객,개별,201709,41590,41590
47,유흥,내국인관광객,개별,201709,3904214,5351176
48,식음료,중국인관광객,단체,201709,1430200,1620005
49,식음료,중국인관광객,개별,201709,840135,1021119
50,식음료,내국인관광객,개별,201709,1388443,2081127
51,숙박,중국인관광객,개별,201709,13118354,15817444
52,숙박,내국인관광객,개별,201709,3454169,4275063
53,쇼핑,중국인관광객,단체,201709,1468130,3248837
54,쇼핑,중국인관광객,개별,201709,989063,2208281
55,쇼핑,내국인관광객,개별,201709,684341,1517344
56,소매,중국인관광객,단체,201709,2865177,3332929
57,소매,중국인관광객,개별,201709,1329550,1605820
58,소매,내국인관광객,개별,201709,1903419,2414166
59,문화/레져,중국인관광객,단체,201709,581616,640329
60,문화/레져,중국인관광객,개별,201709,82454,101794
61,문화/레져,내국인관광객,개별,201709,1750432,2233876
62,기타,중국인관광객,단체,201709,7311498,12413481
63,기타,중국인관광객,개별,201709,471640,533042
64,기타,내국인관광객,개별,201709,1940403,3072000
65,교통,중국인관광객,단체,201709,27598,29776
66,교통,중국인관광객,개별,201709,217814,266990
67,교통,내국인관광객,개별,201709,1766658,2072592
68,유흥,중국인관광객,단체,201708,132809,131106
69,유흥,중국인관광객,개별,201708,53714,53714
70,유흥,내국인관광객,개별,201708,3659028,4971003
71,식음료,중국인관광객,단체,201708,1667587,1954880
72,식음료,중국인관광객,개별,201708,828918,1053108
73,식음료,내국인관광객,개별,201708,1439146,2120800
74,숙박,중국인관광객,개별,201708,8431952,10350586
75,숙박,내국인관광객,개별,201708,3625041,4643718
76,쇼핑,중국인관광객,단체,201708,1600390,3584409
77,쇼핑,중국인관광객,개별,201708,1119493,2755786
78,쇼핑,내국인관광객,개별,201708,694696,1523444
79,소매,중국인관광객,단체,201708,3580280,4130523
80,소매,중국인관광객,개별,201708,1672122,2304217
81,소매,내국인관광객,개별,201708,1645065,2068004
82,문화/레져,중국인관광객,단체,201708,837704,946110
83,문화/레져,중국인관광객,개별,201708,128841,147414
84,문화/레져,내국인관광객,개별,201708,1796948,2293010
85,기타,중국인관광객,단체,201708,8035410,10511181
86,기타,중국인관광객,개별,201708,429034,527884
87,기타,내국인관광객,개별,201708,1994856,3019650
88,교통,중국인관광객,단체,201708,25263,26077
89,교통,중국인관광객,개별,201708,358792,364469
90,교통,내국인관광객,개별,201708,1802426,2096954
91,유흥,중국인관광객,단체,201707,123169,136622
92,유흥,중국인관광객,개별,201707,57791,57791
93,유흥,내국인관광객,개별,201707,3779585,5095730
94,식음료,중국인관광객,단체,201707,1352876,1539098
